Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2960","Fish, Seafood","1973","1973","kcal/capita/day","26","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2901","Grand Total","1974","1974","kcal/capita/day","3110","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2909","Sugar & Sweeteners","1974","1974","kcal/capita/day","403","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2914","Vegetable Oils","1974","1974","kcal/capita/day","271","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2918","Vegetables","1974","1974","kcal/capita/day","42","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2919","Fruits - Excluding Wine","1974","1974","kcal/capita/day","114","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2924","Alcoholic Beverages","1974","1974","kcal/capita/day","268","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2941","Animal Products","1974","1974","kcal/capita/day","1036","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2943","Meat","1974","1974","kcal/capita/day","366","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2946","Animal fats","1974","1974","kcal/capita/day","342","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2948","Milk - Excluding Butter","1974","1974","kcal/capita/day","225","Fc","Calculated data"
"FBS","Food Balance Sheets","79","Germany","664","Food supply (kcal/capita/day)","2960","Fish, Seafood","1974","1974","kcal/capita/day","26","Fc","Calculated data"
